name/handle,image_url,labels
0069f7ec7b6881f727ab0f00167e212f6c5a25bd4f3c3e2a9e69e7e4672785cf.jpg,N/A,"Automotive lighting, Circle, Rim, Electric blue, Button, Natural material, Metal, Jewellery, Fashion accessory, Font"
017db9cf0e0c7d1975d9c0e2eeece9486d34caac78ca8fc842d5e1fa6e3b3fb7.webp,N/A,"Joint, One-piece garment, Arm, Dress, Leg, Purple, Sleeve, Day dress, Waist, Gesture"
01beb38715f94241c3c0254034b425ee31b755bbbead8f1a840bdf4d2424c761-1.webp,N/A,"Outerwear, Sleeve, One-piece garment, Dress, Fashion design, Art, Pattern, Day dress, Font, Electric blue"
01c1bd7bbbf32d94a16977fd7698c3cb85da1b242efdf40fd83161ea7b5c3e66.webp,N/A,"Tableware, Rectangle, Audio equipment, Gas, Font, Metal, Drinkware, Fashion accessory, Electric blue, Automotive lighting"
01eb1372d586961af037769aefe1f0e4fa0ae630ea93a2b93e2b133e971df2e5.jpg,N/A,"Rectangle, Purple, Pillow, Art, Aqua, Creative arts, Font, Magenta, Pattern, Circle"
030dfccbb7daeec4f3d5273eff9f8722c77fa352937c24187edda8a7d0c352aa.webp,N/A,"Joint, Hand, Outerwear, Arm, Sleeve, Standing, Gesture, Elbow, Headgear, Finger"
030dfccbb7daeec4f3d5273eff9f8722c77fa352937c24187edda8a7d0c352aa_14a5a641-18ed-47c0-8309-9964cc3d02a7.webp,N/A,"Joint, Hand, Outerwear, Arm, Sleeve, Standing, Gesture, Elbow, Headgear, Finger"
034ac03702ca75147489954b37c6a45a8add3c64df438915b93308e698a4770a.webp,N/A,"Vertebrate, Eyelash, Neck, Jaw, Textile, Mammal, Gesture, Felidae, Font, Small to medium-sized cats"
0502c94abe2989629227e44e82b5190ecdc2ef98ee99719ba61046c5e34616a0.webp,N/A,"Dishware, Natural material, Serveware, Terrestrial plant, Porcelain, Cuisine, Ingredient, Wood, Pottery, Dish"
05aafe33c2ab75f8f4c9ac66b5b8ae20868de664d90d3cce90c051d3b959978a.webp,N/A,"Hair, Sheath dress, Outerwear, One-piece garment, Arm, Shoulder, Dress, Day dress, Human body, Neck"
05aafe33c2ab75f8f4c9ac66b5b8ae20868de664d90d3cce90c051d3b959978a_60558fa4-6386-4b0c-b17a-fbef558c0097.webp,N/A,"Hair, Sheath dress, Outerwear, One-piece garment, Arm, Shoulder, Dress, Day dress, Human body, Neck"
07dc02b35afaa867b3f2100017e654a10f4d21b67bc2ff497836d288a6718e0b.webp,N/A,"Rectangle, Font, Magenta, Electric blue, Fashion accessory, Rolling, Pattern, Metal, Synthetic rubber, Tie"
082577d34cdc90fef6ba7076a13cd9f445a3d63fa4ac59dcec6304a0f63d5f9b.webp,N/A,"Face, Skin, Head, Hand, Eye, Comfort, Leg, Human body, Textile, Sleeve"
08a5a450ac79d9f4bb9219806038bee49aa3df5545f6144090373af7d630fe19.webp,N/A,"Font, Parallel, Plant, Terrestrial plant, Publication, Paper, Document, Book, Paper product"
08c78423c7213aba2b77c7d1071c34b47556e45706a7f5df3c850debba0db4d5.webp,N/A,"Tire, Automotive tire, Wheel, Rim, Automotive wheel system, Symbol, Auto part, Circle, Font, Fashion accessory"
09de486bd757b16e9b8bc0007c45c504258cf40c5826332d3800cfc8d8eaafa3.webp,N/A,"Luggage and bags, Bag, Gas, Electric blue, Backpack, Baggage, Fashion accessory, Font, Metal, Rectangle"
0a0660c9560460e4ebe32b793c58626f539c035f9c1f97bf2658c74f0fca7984.webp,N/A,"Outerwear, Arm, Shoulder, One-piece garment, Dress, Neck, Sleeve, Waist, Day dress, Grey"
0aa96103ed74bd1b70e1a68450021b665c854863b17536f6db106f7ddfd14ddf.webp,N/A,"Wood, Gesture, Serveware, Drinkware, Gas, Artifact, Jewellery, Art, Metal, Thumb"
0ab0e76b73bfa5375e3a743651d52c1dcb7049904fdd69c6a73169ed1b18d3bc.webp,N/A,"Rectangle, Art, Linens, Font, Rock, Wood, Drawing, Pattern, Trunk, Fur"
0acdf49a13df9147bbf7ee5eb40ea8e446d55137c55526beb2b32852f5a85b85.webp,N/A,"Rectangle, Bag, Beige, Wood, Linens, Pattern, Wallet, Wool, Fashion accessory, Woolen"
